,source,batch_size,input_size,hidden_size,component,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,num_layers,FLOPs_Activations,FLOPs_Cell_Update,FLOPs_Gates,FLOPs_Hidden_Update,hidden_gates,HEF_Activations,duration_Activations,HEF_Cell_Update,duration_Cell_Update,HEF_Hidden_Update,duration_Hidden_Update,HEF_hidden_gates,duration_hidden_gates,HEF_Gates,duration_Gates
700,NVIDIA A100 80GB PCIe,128,320,64,Activations,32768,0.0003375592223901,0.0001901909854886,9.64617930027064e-05,5.090644389882007e-05,4,156.0,1,3.2768e-08,1.6384e-08,2.097152e-05,1.6384e-08,4.194304e-06,0.0002837952845261125,2.960602850072441,0.00015130668443590628,2.7764970574087235,0.00015971869891152768,2.6302653788537924,0.07501485389651076,0.025641025641025644,0.10459614598183971,5.141023858992324
3224,NVIDIA A100 80GB PCIe,448,320,320,hidden_gates,367001600,0.0010501812971503,0.0005872543586953,0.0002962803353574,0.0001666466030976,4,156.0,1,5.7344e-07,2.8672e-07,0.0003670016,2.8672e-07,0.0003670016,0.0032727324220947836,4.4927564637803155,0.0016328790618709537,4.5023511192379315,0.0018265348338440603,4.024995710770293,2.028200400090279,0.025641025641025644,1.1259668936083587,8.357525864495432
1517,NVIDIA A100 80GB PCIe,256,64,256,Hidden Update,131072,0.0006907649277507,0.0003865372536751,0.0001963307303977,0.0001078969436778,4,156.0,1,2.62144e-07,1.31072e-07,3.3554432e-05,1.31072e-07,0.000134217728,0.0016835767015794271,3.9924768615146546,0.0008548966404385433,3.9312594690938143,0.0009401013483015264,3.5749555288825827,0.969805481436775,0.025641025641025644,0.15474211211308062,5.560025254491293
1614,NVIDIA A100 80GB PCIe,256,192,192,hidden_gates,75497472,0.0005670779520146,0.0003163566419779,0.0001617019296392,8.901938039754287e-05,4,156.0,1,1.96608e-07,9.8304e-08,7.5497472e-05,9.8304e-08,7.5497472e-05,0.0013171779039906424,3.827296794121278,0.0006732933189272896,3.7437106737243466,0.0007360166264374694,3.4246717996248033,0.634832929318171,0.02564102564102564,0.30391432884985636,6.369665499848742
3794,NVIDIA A100 80GB PCIe,512,384,576,hidden_gates,1358954496,0.0012159123438291,0.0006809877670121,0.0003421054989619,0.0001928190778549,4,156.0,1,1.179648e-06,5.89824e-07,0.000905969664,5.89824e-07,0.001358954496,0.005997889476234551,5.043004666096947,0.002947608989100302,5.130833961905004,0.0033559305857044407,4.50655695088452,5.235058791418484,0.02564102564102564,2.357087963341527,9.855377374921288
2425,NVIDIA A100 80GB PCIe,320,576,384,Activations,491520,0.00092236653956,0.0005165901354899,0.0002602286870716,0.0001455477169983,4,156.0,1,4.9152e-07,2.4576e-07,0.00056623104,2.4576e-07,0.00037748736,0.0028724996166485236,4.387494727599479,0.0014380604101878638,4.381970616043347,0.0016029977427244474,3.93109627891827,2.0703781106462076,0.025641025641025644,1.6073424961294656,9.032763490261868
2987,NVIDIA A100 80GB PCIe,384,640,512,Hidden Update,393216,0.0012467697156323,0.00069795639169,0.0003513540669163,0.0001974592570259,4,156.0,1,7.86432e-07,3.93216e-07,0.00100663296,3.93216e-07,0.000805306368,0.004271419554993498,4.720894966487031,0.002116714184812664,4.763260723059721,0.0023854229432769387,4.226697645747849,3.592268048510935,0.025641025641025644,2.5668978212194227,10.055367738089314
2880,NVIDIA A100 80GB PCIe,384,512,448,Activations,688128,0.0010772395070044,0.0006026896488116,0.0003040128543212,0.0001705370038716,4,156.0,1,6.88128e-07,3.44064e-07,0.000704643072,3.44064e-07,0.000616562688,0.0038172375760329616,4.622271299824209,0.001897037036729808,4.650491094977166,0.0021310448198288722,4.139825574791188,2.9599844813145992,0.02564102564102564,1.9216212354373454,9.402358146198878
1309,NVIDIA A100 80GB PCIe,192,448,128,hidden_gates,25165824,0.0004790143142552,0.0002682529923809,0.0001362645729004,7.449674897384329e-05,4,156.0,1,9.8304e-08,4.9152e-08,8.8080384e-05,4.9152e-08,2.5165824e-05,0.0007280687042600683,3.462057041961542,0.0003782315422103684,3.3321062673475357,0.0004077861029521109,3.0906097171626734,0.28216064684537784,0.02564102564102564,0.3454658992169057,6.537465462538666
3143,NVIDIA A100 80GB PCIe,448,192,576,compute_gates,396361728,0.0011037238051523,0.0006177860497835,0.0003110740419145,0.0001748637134541,4,156.0,1,1.032192e-06,5.16096e-07,0.000396361728,5.16096e-07,0.001189085184,0.0053653720544075394,4.9328287526155625,0.002643852637582627,5.005283040786421,0.0029996856512997288,4.411539176945746,4.757260864790111,0.02564102564102564,1.1995713777561727,8.47229387031524
