operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Cell Update_t3,1,4969,0.0005693439841270447,40960000,0.00020694707014834115,0.00012118954138884419,5.697526113572927e-05,2.8782267623767687e-05,4,640,6400,3200,3
Hidden Update_t3,1,4969,0.0003676159977912903,40960000,0.00021949969913110135,0.00012917621444685778,6.000899495160229e-05,3.0314489732641265e-05,4,640,6400,3200,3
h_Gates_t0,0,4969,0.00030720001459121706,12582912000,2.531957999349627e-06,2.0600016483740546e-06,3.5256611538754534e-07,1.19390235588027e-07,4,640,640,3840,0
Gates_t0,0,4969,0.00046592000126838686,12582912000,1.481475708437185e-05,9.256951852165685e-06,3.720954365650335e-06,1.8368508665558304e-06,4,640,640,3840,0
Activations_t0,0,4969,0.00019763199985027314,9830400,2.449628976505535e-05,1.391806669204243e-05,7.0559320336305645e-06,3.5222910393823574e-06,4,640,640,3840,0
Cell Update_t0,0,4969,0.00021606400609016418,4915200,3.873073641301896e-05,2.317918521299589e-05,1.034717855551582e-05,5.204372644507249e-06,4,640,640,3840,0
Hidden Update_t0,0,4969,0.0001884160041809082,4915200,4.793153568246115e-05,2.780613335318094e-05,1.3378419869394982e-05,6.746982459885223e-06,4,640,640,3840,0
h_Gates_t1,0,4969,0.0002979840040206909,12582912000,6.0940077577575585e-05,3.577169528767854e-05,1.67292703278513e-05,8.43911196204574e-06,4,640,640,3840,1
Gates_t1,0,4969,0.0004270080029964447,12582912000,7.142836442836935e-05,4.168642223945085e-05,1.976355469972095e-05,9.978387489197547e-06,4,640,640,3840,1
Activations_t1,0,4969,0.0002170879989862442,9830400,8.073335073101564e-05,4.633087040062378e-05,2.285248828197764e-05,1.154999204841421e-05,4,640,640,3840,1
Cell Update_t1,0,4969,0.00020582400262355804,4915200,9.519667810936388e-05,5.558698891405811e-05,2.632911134104951e-05,1.328057785425625e-05,4,640,640,3840,1
Hidden Update_t1,0,4969,0.0001955839991569519,4915200,0.00010442059960162324,6.021504816899892e-05,2.937436461058346e-05,1.4831186822040848e-05,4,640,640,3840,1
h_Gates_t2,0,4969,0.0002969599962234497,12582912000,0.00011576953075323689,6.693199798846194e-05,3.24626501367678e-05,1.6374882628007126e-05,4,640,640,3840,2
Gates_t2,0,4969,0.0004095999896526337,12582912000,0.00012751266420311878,7.410367039639709e-05,3.5496294508125664e-05,1.7912699298596013e-05,4,640,640,3840,2
Activations_t2,0,4969,0.00020582400262355804,9830400,0.00013671491027531467,7.872978520850893e-05,3.853162610305532e-05,1.94534989637504e-05,4,640,640,3840,2
Cell Update_t2,0,4969,0.00020684799551963807,4915200,0.00014799450474429056,8.54131238874345e-05,4.158715326969646e-05,2.0994227587159573e-05,4,640,640,3840,2
Hidden Update_t2,0,4969,0.00020479999482631684,4915200,0.0001597784632825388,9.260590741888564e-05,4.4644528493374e-05,2.252802737027914e-05,4,640,640,3840,2
h_Gates_t3,0,4969,0.0003051519989967346,12582912000,0.00016894191845580613,9.7227577789738e-05,4.76559342358282e-05,2.4058406430239875e-05,4,640,640,3840,3
Gates_t3,0,4969,0.00041369599103927615,12582912000,0.00018202531642486157,0.00010519619526405677,5.105029945131918e-05,2.5778821709485573e-05,4,640,640,3840,3
Activations_t3,0,4969,0.00020070399343967437,9830400,0.0001925763866540492,0.0001111359222463193,5.410611495152481e-05,2.7334349456205065e-05,4,640,640,3840,3
Cell Update_t3,0,4969,0.00020582400262355804,4915200,0.00020224212157745434,0.0001157664814996906,5.744338123244656e-05,2.903225884531713e-05,4,640,640,3840,3
Hidden Update_t3,0,4969,0.00019968000054359437,4915200,0.00021609111452375605,0.00012501315557145176,6.049942117727653e-05,3.0578537775027706e-05,4,640,640,3840,3
h_Gates_t0,0,4969,0.0005990399718284607,50331648000,2.523402720859518e-06,2.0505571995954597e-06,3.5310833804147457e-07,1.197371832225839e-07,4,640,1280,3840,0
Gates_t0,0,4969,0.0006533120274543762,25165824000,1.4863927828885706e-05,9.285840764761133e-06,3.7240865903781853e-06,1.8540004737463884e-06,4,640,1280,3840,0
Activations_t0,0,4969,0.00022732800245285034,19660800,2.6676888636387216e-05,1.598417945203323e-05,7.11870180606939e-06,3.5740073782845974e-06,4,640,1280,3840,0
Cell Update_t0,0,4969,0.00024268800020217895,9830400,3.848730540962934e-05,2.3173351866745406e-05,1.0197395657910065e-05,5.116557884973874e-06,4,640,1280,3840,0
Hidden Update_t0,0,4969,0.00019148799777030944,9830400,4.8145174361397466e-05,2.7802522247100114e-05,1.3523027485080712e-05,6.819624629216642e-06,4,640,1280,3840,0
h_Gates_t1,0,4969,0.000638975977897644,50331648000,6.076448214224966e-05,3.577447306568615e-05,1.6624345799465257e-05,8.365663277098254e-06,4,640,1280,3840,1
Gates_t1,0,4969,0.0006010879874229431,25165824000,7.133333731812135e-05,4.1734200056708914e-05,1.967964407703464e-05,9.919493184377802e-06,4,640,1280,3840,1
Activations_t1,0,4969,0.00023347200453281401,19660800,8.059015930853721e-05,4.6380037105109295e-05,2.2735773188604577e-05,1.1474349014823346e-05,4,640,1280,3840,1
