operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Activations_t0,0,1113,5.3247999399900436e-05,81920,1.3486832972617723e-05,7.845561828645486e-06,3.877934213454212e-06,1.763336930518025e-06,4,64,320,64,0
Cell Update_t0,0,1113,9.216000139713287e-05,40960,1.8624499371031342e-05,1.0366119401084006e-05,5.712667625687104e-06,2.545712344260233e-06,4,64,320,64,0
Hidden Update_t0,0,1113,5.632000043988228e-05,40960,2.5601167794254336e-05,1.4918067492430964e-05,7.4141523202075205e-06,3.2689479816158536e-06,4,64,320,64,0
h_Gates_t1,0,1113,9.011200070381165e-05,52428800,3.1386412506876206e-05,1.8203347902812084e-05,9.134060918351145e-06,4.0490036857129775e-06,4,64,320,64,1
Gates_t1,0,1113,0.0002037760019302368,10485760,3.489039106040231e-05,1.947057113582673e-05,1.0681367433977573e-05,4.738452490598003e-06,4,64,320,64,1
Activations_t1,0,1113,6.143999844789505e-05,81920,4.193171422218078e-05,2.4048908130680502e-05,1.2367038782511164e-05,5.515767308989115e-06,4,64,320,64,1
Cell Update_t1,0,1113,6.860800087451935e-05,40960,4.887399354711739e-05,2.856141173879223e-05,1.404644595936859e-05,6.266135848956571e-06,4,64,320,64,1
Hidden Update_t1,0,1113,5.7344000786542894e-05,40960,5.327615989282471e-05,3.059585780817997e-05,1.567738726412221e-05,7.00291482052253e-06,4,64,320,64,1
h_Gates_t2,0,1113,8.191999793052673e-05,52428800,5.82957220470147e-05,3.3113637599058166e-05,1.7409968372407783e-05,7.772116075548747e-06,4,64,320,64,2
Gates_t2,0,1113,0.00034508800506591797,10485760,6.526898594524016e-05,3.7668641247989854e-05,1.9096686666225313e-05,8.503658031024997e-06,4,64,320,64,2
Activations_t2,0,1113,0.00020172800123691558,81920,7.073832411007106e-05,4.094836609525032e-05,2.061763927187557e-05,9.17231874294517e-06,4,64,320,64,2
Cell Update_t2,0,1113,0.00021196800470352174,40960,7.422310282505099e-05,4.2213644885436e-05,2.216679801120454e-05,9.842659928410456e-06,4,64,320,64,2
Hidden Update_t2,0,1113,0.00020582400262355804,40960,8.101756305351924e-05,4.670337069967445e-05,2.3757920395210685e-05,1.0556271958634109e-05,4,64,320,64,2
