operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Hidden Update_t3,1,1757,0.00022015999257564545,8192000,0.00010236106015561144,6.019754816932732e-05,2.9379899892789034e-05,1.2783612093495078e-05,4,640,6400,640,3
h_Gates_t0,0,3165,0.003584000110626221,471859200000,5.039843840720042e-07,0.0,3.642386247239152e-07,1.3974575934808905e-07,4,640,9600,640,0
Gates_t0,2,3165,0.0005703679919242859,31457280000,8.916523972749159e-06,5.09305963092288e-06,2.592713463060053e-06,1.230750878766225e-06,4,640,9600,640,0
Activations_t0,2,3165,0.00025702399015426635,24576000,1.726744467912376e-05,9.767507812341591e-06,5.044328757683567e-06,2.4556081090986e-06,4,640,9600,640,0
Cell Update_t0,2,3165,0.000272383987903595,12288000,2.4006367778819094e-05,1.4349733703511447e-05,6.547497182439292e-06,3.109136892868355e-06,4,640,9600,640,0
Hidden Update_t0,0,3165,0.00022118400037288665,12288000,2.9405385710640003e-05,1.7616402985254354e-05,8.029024756550326e-06,3.759957968835323e-06,4,640,9600,640,0
h_Gates_t1,0,3165,0.0037652480602264403,471859200000,3.703007877249149e-05,2.21802955238104e-05,1.0098371412026294e-05,4.751411836654799e-06,4,640,9600,640,1
Gates_t1,2,3165,0.0006850559711456299,31457280000,4.058118504856958e-05,2.3483074343744192e-05,1.1670158780566144e-05,5.427951924259247e-06,4,640,9600,640,1
Activations_t1,2,3165,0.0002795520126819611,24576000,4.821871486096209e-05,2.845252276983956e-05,1.3513479144108115e-05,6.252712947014418e-06,4,640,9600,640,1
Cell Update_t1,2,3165,0.00019763199985027314,12288000,5.3821039686785886e-05,3.1719469820501445e-05,1.5118973761837169e-05,6.982596104447275e-06,4,640,9600,640,1
Hidden Update_t1,0,3165,0.00021913599967956544,12288000,5.938446518366154e-05,3.500947245171915e-05,1.6724010601420645e-05,7.650982130521749e-06,4,640,9600,640,1
h_Gates_t2,0,3165,0.003768320083618164,471859200000,6.426270332101954e-05,3.7604196752027974e-05,1.829545852524391e-05,8.363048043747652e-06,4,640,9600,640,2
