operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
Attention Scores,0,393,0.000351526403427124,1073741824,0.00014092918137213335,5.33193759888001e-05,4.1644371968192856e-05,4.5965433415140404e-05,128,1094713344,512
attention_softmax,0,393,0.00012407680153846742,65536,0.00023893223599066228,9.023123885159856e-05,7.067711736542113e-05,7.802387977364266e-05,128,1094713344,512
Attention Output,0,393,0.0003221311986446381,1073741824,0.0003375317046175413,0.00012797093570999992,9.960243971070468e-05,0.00010995832919683673,128,1094713344,512
Final Projection,0,393,0.0005362751960754395,4294967296,0.00043562130444811057,0.00016465957617199932,0.00012878269542306047,0.00014217903285305072,128,1094713344,512
QKV Projections,0,417,0.0019201087951660155,16307453952,3.965470656965708e-05,1.4895400805199633e-05,1.1773624269031367e-05,1.2985681495426079e-05,128,1231552512,576
Attention Scores,0,417,0.0003613760054111481,1207959552,0.00013733088126789057,5.172981916160002e-05,4.069170624583877e-05,4.4909355860451756e-05,128,1231552512,576
attention_softmax,0,417,0.00010936320126056671,65536,0.00023617664604055864,8.950957160760026e-05,6.971910493998774e-05,7.694796949297064e-05,128,1231552512,576
Attention Output,0,417,0.0002945791959762573,1207959552,0.00033422184437907415,0.00012627043434960058,9.884855909900731e-05,0.00010910285093046631,128,1231552512,576
Final Projection,0,417,0.0007028928041458131,5435817984,0.0004334356367097261,0.0001642408536147992,0.00012796108720566218,0.00014123369588926472,128,1231552512,576
QKV Projections,0,437,0.0021292288303375244,20132659200,4.022360055356355e-05,1.527340110759959e-05,1.1862799008612988e-05,1.3087400437350972e-05,128,1368391680,640
Attention Scores,0,437,0.0004208383977413178,1342177280,0.00014015075724394015,5.3381264927199884e-05,4.124125414861573e-05,4.5528238168124554e-05,128,1368391680,640
attention_softmax,0,437,0.0001103296011686325,65536,0.00023790005790832032,9.03246833707981e-05,7.013984138250937e-05,7.743553315501283e-05,128,1368391680,640
Attention Output,0,437,0.00035093759894371033,1342177280,0.00033602978744233975,0.00012771771328519906,9.900639157571606e-05,0.00010930568258142458,128,1368391680,640
Final Projection,0,437,0.0007650048017501831,6710886400,0.0004343796868304287,0.00016469668731279862,0.00012817760577197104,0.00014150539374565898,128,1368391680,640
QKV Projections,0,481,0.002659673547744751,24360517632,4.016840738020679e-05,1.5181845478801081e-05,1.1880783037075466e-05,1.3105778864330243e-05,128,1505230848,704
Attention Scores,0,481,0.0003919167995452881,1476395008,0.000139837441164729,5.318126476720059e-05,4.1188504884008935e-05,4.5467671513519476e-05,128,1505230848,704
attention_softmax,0,481,0.00011066239923238754,65536,0.0002386187195006195,9.067585031840158e-05,7.031475231649363e-05,7.762811686572425e-05,128,1505230848,704
Attention Output,0,481,0.0003275775969028473,1476395008,0.0003372565325139614,0.0001279998246220007,9.94578573102433e-05,0.00010979885058171726,128,1505230848,704
Final Projection,0,481,0.0009530431985855101,8120172544,0.0004388172356381033,0.00016641879980160146,0.00012946640080676984,0.0001429320350297318,128,1505230848,704
QKV Projections,1,507,0.0029313983917236327,28991029248,4.12226297510853e-05,1.625279078000183e-05,1.1872085227911257e-05,1.3097753743172212e-05,128,1642070016,768
Attention Scores,0,507,0.0004696639955043793,1610612736,0.0001398864806027422,5.3572987302802354e-05,4.102472461025047e-05,4.5288768689689406e-05,128,1642070016,768
attention_softmax,0,507,0.00010974079966545106,65536,0.0002386026286503428,9.121023963480149e-05,7.005221923635798e-05,7.734016977918335e-05,128,1642070016,768
Attention Output,0,507,0.00033738239407539374,1610612736,0.0003365983234459013,0.00012803088020240104,9.912707989523094e-05,0.00010944036334826933,128,1642070016,768
Final Projection,0,507,0.0010570175886154176,9663676416,0.00043668442331082184,0.00016602979949040115,0.00012863439624176157,0.0001420202275786591,128,1642070016,768
QKV Projections,1,533,0.003623865604400635,34024194048,3.980381595653594e-05,1.4836289646799616e-05,1.187190879625506e-05,1.3095617513481258e-05,128,1778909184,832
Attention Scores,0,533,0.0004141312062740326,1744830464,0.00013794370973145724,5.2057652757198784e-05,4.082363440112457e-05,4.5062422573133864e-05,128,1778909184,832
attention_softmax,0,533,0.00010615040063858031,65536,0.00023699407495760276,8.95568494231995e-05,7.007532558919166e-05,7.736189994521158e-05,128,1778909184,832
Attention Output,0,533,0.00035041920542716983,1744830464,0.0003378650057364124,0.0001277442133063994,9.986614588531237e-05,0.00011025464654470051,128,1778909184,832
Final Projection,0,533,0.0012610111951828003,11341398016,0.00043563308550859293,0.00016449746493120074,0.0001288640318262843,0.0001422715887511078,128,1778909184,832
QKV Projections,1,559,0.0038909823417663573,39460012032,3.942610277202347e-05,1.4663122841598181e-05,1.1779975733471325e-05,1.2983004196953966e-05,128,1915748352,896
Attention Scores,0,559,0.0005114560008049012,1879048192,0.00013759144158479093,5.1713541370797256e-05,4.082782671681167e-05,4.505007349718201e-05,128,1915748352,896
attention_softmax,0,559,0.00011285120099782943,65536,0.00023703838612810862,8.964962727519843e-05,7.006265250945907e-05,7.732610634345112e-05,128,1915748352,896
Attention Output,0,559,0.0003711359918117523,1879048192,0.0003352374345163437,0.0001263742677659989,9.928000035181311e-05,0.00010958316639853164,128,1915748352,896
Final Projection,0,559,0.0013453376293182373,13153337344,0.0004333973748534232,0.000163668686490398,0.00012820628373542606,0.00014152240462759897,128,1915748352,896
QKV Projections,1,585,0.004691769695281982,45298483200,4.095339669764463e-05,1.5591012472800787e-05,1.2058423696533081e-05,1.3303960528310762e-05,128,2052587520,960
Attention Scores,0,585,0.0005385280013084411,2013265920,0.00014109316992039214,5.356254284999973e-05,4.16030045908417e-05,4.5927622479550716e-05,128,2052587520,960
attention_softmax,0,585,0.00012427519857883453,65536,0.00024112322298822184,9.151612876839923e-05,7.111126787042925e-05,7.849582634939334e-05,128,2052587520,960
Attention Output,0,585,0.0003925375998020172,2013265920,0.0003410085969767198,0.00012959077033920032,0.00010048787458625662,0.00011092995205126291,128,2052587520,960
Final Projection,0,585,0.0016244415998458862,15099494400,0.00044077958860104245,0.00016767474525080026,0.00012980462145224136,0.00014330022189800086,128,2052587520,960
QKV Projections,1,611,0.0050174015045166016,51539607552,4.231506766968684e-05,1.6672957782798424e-05,1.2192685753490322e-05,1.3449424133398093e-05,128,2189426688,1024
Attention Scores,0,611,0.0004532159984111786,2147483648,0.00014281434392730737,5.506237738319916e-05,4.171067034142072e-05,4.60412962026875e-05,128,2189426688,1024
attention_softmax,0,611,0.00010856319963932037,65536,0.00024193686134900443,9.238540724159916e-05,7.108294394851481e-05,7.846851015889047e-05,128,2189426688,1024
