operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
QKV Projections,0,705,0.0007071744024753572,20132659200,1.7730537534214173e-05,9.00134053409829e-06,6.905627191164604e-06,1.823569808951279e-06,128,1368391680,640
Attention Scores,0,705,0.0004962303936481476,1342177280,5.3699696903926496e-05,2.6102687549212078e-05,2.1742443727274907e-05,5.854565627439514e-06,128,1368391680,640
attention_softmax,0,705,0.00021483519971370697,65536,9.209336802831578e-05,4.494664706982121e-05,3.705970786996523e-05,1.0087013088529355e-05,128,1368391680,640
Attention Output,0,705,0.00042598399519920354,1342177280,0.00012898709809743415,6.198721625736426e-05,5.2584278400722936e-05,1.441560343934697e-05,128,1368391680,640
Final Projection,0,705,0.00035840000510215756,6710886400,0.00016243364134992339,7.812745139190724e-05,6.612066806315885e-05,1.818552189485733e-05,128,1368391680,640
QKV Projections,0,749,0.0007612416028976441,24360517632,2.2266721443500206e-05,1.055328622285856e-05,9.248189731878617e-06,2.465245488763027e-06,128,1505230848,704
Attention Scores,0,749,0.0004642816007137299,1476395008,7.139786027957163e-05,3.416519399905838e-05,2.905508679960603e-05,8.177579480907218e-06,128,1505230848,704
attention_softmax,0,749,0.00020357119739055634,65536,0.00011130440554076121,5.299020905908946e-05,4.5480236050826175e-05,1.2833960430845572e-05,128,1505230848,704
Attention Output,0,749,0.0003981312036514282,1476395008,0.00014600856062479218,6.97666113694595e-05,5.95857232796512e-05,1.6656225975681463e-05,128,1505230848,704
Final Projection,0,749,0.0003596287965774536,8120172544,0.00018890286693497532,9.063279472982799e-05,7.663885497770095e-05,2.1631217227446334e-05,128,1505230848,704
QKV Projections,0,775,0.0007639039993286134,28991029248,1.7896524424930147e-05,7.886728528916365e-06,7.847210833319767e-06,2.1625850626940165e-06,128,1642070016,768
