,duration,energy_joules,num_repeats,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,energy_wh_std_codecarbon,power_watt_std,time_sec_std,params,seq_length,batch_size,num_layers,d_model,num_attention_heads,model,source,peak,component,total_energy_kWh,flops_counts,HEF,FLOPs_QKV Projections,HEF_QKV Projections,duration_QKV Projections,FLOPs_Attention Scores,HEF_Attention Scores,duration_Attention Scores,FLOPs_Attention Output,HEF_Attention Output,duration_Attention Output,FLOPs_Final Projection,HEF_Final Projection,duration_Final Projection
40943,2.5431435546875,247.37157356445312,1,1.1079550874744726,0.2704701801990259,0.1506852278557145,0.0,0.0,0.0,49801192,1280,192,4,1280,8,gpt,a100,156.0,Projections,1.529110495529218,5.47933691904,1.3811235525611834,2.415919104,68.42844965382046,905.2761534960351,0.805306368,68.36054313263064,302.05847239550195,0.805306368,68.36054313263064,0.00030205847239550196,0.805306368,68.36054313263064,302.05847239550195
57577,1.0833082275390624,104.09508758422852,1,0.7595461618031081,0.183438868428755,0.1017606981572408,0.0,0.0,0.0,36434920,768,256,4,1024,8,bert,a100,156.0,Projections,1.0447457283891035,3.506893553664,2.0751330333315443,1.236950581248,68.4236265907482,463.5340620011811,0.309237645312,66.05138205198064,120.04548801681914,0.309237645312,66.05138205198064,0.00012004548801681913,0.412316860416,67.3753058443083,156.91546120153103
67251,0.7848580322265625,78.96456662231445,1,0.9768003381063082,0.2356343490673284,0.1308129584854287,0.0,0.0,0.0,6100968,1280,320,4,256,4,bert,a100,156.0,Projections,1.3432476456590636,1.827428352,1.492535442933555,0.1610612736,59.657543210552795,69.2247119794791,0.268435456,65.08852327717696,105.74768121479096,0.268435456,65.08852327717696,0.00010574768121479096,0.0536870912,40.52712662176082,33.96717697010694
30792,2.130482177734375,205.33587229003905,1,0.8298225774686436,0.2041742735612323,0.1137142723170648,0.0,0.0,0.0,49801192,1280,160,4,1280,8,gpt,a100,156.0,Projections,1.1477111233469417,4.5661140992,1.3738656197295964,2.01326592,68.4283893230785,754.3974597033618,0.67108864,68.26334409282829,252.07380702359737,0.67108864,68.26334409282829,0.0002520738070235974,0.67108864,68.26334409282829,252.07380702359737
67231,0.4624754638671875,45.26247364868164,1,0.9712729297955,0.2343481262086287,0.1300890951260349,0.0,0.0,0.0,2792936,1280,320,4,128,2,bert,a100,156.0,Projections,1.3357101511301617,0.9143283712,1.2673276228654742,0.0402653184,35.19209364990046,29.33738673832444,0.134217728,57.00859964786284,60.3677379620957,0.134217728,57.00859964786284,6.03677379620957e-05,0.0134217728,18.50778631765501,18.594769498961075
69582,1.81371923828125,180.01163439941405,1,0.8184180730672637,0.1971962317093591,0.1094245873485334,0.0,0.0,0.0,27542248,1024,256,6,640,8,bert,a100,156.0,Projections,1.1250388921251564,4.299779997696,1.5196780025911034,0.6442450944,68.23024234370527,363.1623840950506,0.34359738368,66.62806889976443,198.34409440221717,0.34359738368,66.62806889976443,0.00019834409440221717,0.2147483648,63.09666339129154,130.90315792273188
67259,0.5359761962890625,52.718618666992185,1,0.9793759304445652,0.2362346949817714,0.1311501319648218,0.0,0.0,0.0,9736680,768,320,4,384,2,bert,a100,156.0,Projections,1.3467607573911564,1.64431699968,1.9665973341113852,0.21743271936,63.22321714095528,88.1827623526001,0.14495514624,58.16735648631654,63.8983589087947,0.14495514624,58.16735648631654,6.38983589087947e-05,0.07247757312,46.21229450770359,40.21439165846733
30789,0.5664854125976563,57.16404298522949,1,0.8266529488218275,0.2034437925226813,0.1133067660186312,0.0,0.0,0.0,49801192,512,160,4,1280,8,gpt,a100,156.0,Projections,1.143403507363141,1.82644563968,2.0667760562546262,0.805306368,68.36054313263064,302.05847239550195,0.1073741824,53.35899034593298,51.59738117706742,0.1073741824,53.35899034593298,5.1597381177067416e-05,0.268435456,65.08852327717696,105.74768121479096
59825,1.1124949951171874,108.75751072265624,1,0.8145256730089017,0.196282203459526,0.1089173160352677,0.0,0.0,0.0,27378408,768,256,6,640,4,bert,a100,156.0,Projections,1.1197251925036955,3.224834998272,1.8581673904532732,0.4831838208,67.80878723616757,274.0646731074413,0.19327352832,61.949061951652055,119.99531564946778,0.19327352832,61.949061951652055,0.00011999531564946778,0.1610612736,59.657543210552795,103.83706796921865
64460,0.82002880859375,78.9605739794922,1,0.8296850965253206,0.1998826297715314,0.1109201136842764,0.0,0.0,0.0,43600104,512,256,6,896,4,bert,a100,156.0,Projections,1.1404878399811285,3.009688764416,2.352707184526761,0.631360192512,68.21192920464478,355.99468612787894,0.120259084288,55.26216417715961,83.69830361446483,0.120259084288,55.26216417715961,8.369830361446484e-05,0.210453397504,62.88689163271186,128.7130152613728
36957,0.6081296997070312,59.27440183044433,1,0.7907873787405073,0.1950416402531871,0.1086166224624407,0.0,0.0,0.0,29358568,768,160,4,896,2,gpt,a100,156.0,Projections,1.0944456414561368,1.9178784768,2.0216234803073627,0.59190018048,68.14383502925358,222.71901336489293,0.16911433728,60.307548366891325,71.90252590075666,0.16911433728,60.307548366891325,7.190252590075666e-05,0.19730006016,62.18404990719609,81.35487973344472
40922,1.7047120361328123,166.15828216186523,1,1.0893164425635682,0.2661440633003575,0.1482748641767382,0.0,0.0,0.0,42462696,1024,192,4,1152,8,gpt,a100,156.0,Projections,1.5037353700406684,3.945181544448,1.4835130361543825,1.565515579392,68.42770517840273,586.6253297251432,0.463856467968,67.71379459789664,175.6474535144797,0.463856467968,67.71379459789664,0.0001756474535144797,0.521838526464,67.96064762365883,196.88563169136688
95106,0.4642974853515625,36.13627328491211,1,0.5011160203369425,0.1081102515912451,0.119937932618608,0.0,0.0,0.0,5773288,256,192,4,256,8,gpt,grid,11.34,Projections,0.7291642045467956,0.21929140224,4.164973270119624,0.019327352832,72.44774424418173,94.1010445179832,0.006442450944,59.53945595106313,38.16745437934241,0.006442450944,59.53945595106313,3.816745437934241e-05,0.006442450944,59.53945595106313,38.16745437934241
36978,1.0455635986328125,100.00815820922853,1,0.8017749930861484,0.197610073307932,0.1100509203360288,0.0,0.0,0.0,35648488,1024,160,4,1024,4,gpt,a100,156.0,Projections,1.10943598673011,2.92241129472,1.7917040876213144,1.03079215104,68.41196146355554,386.34425047825476,0.34359738368,66.62806889976443,132.22939626814477,0.34359738368,66.62806889976443,0.00013222939626814477,0.34359738368,66.62806889976443,132.22939626814477
33973,2.15689990234375,211.80757041015627,1,0.8849322371118902,0.2170427160745892,0.120908725032803,0.0,0.0,0.0,52448232,1280,160,6,1024,2,gpt,a100,156.0,Projections,1.222883678219286,5.37435648,1.5972462625403996,1.2884901888,68.42487483912457,724.2587592649835,0.536870912,68.00850897637451,303.6220252666096,0.536870912,68.00850897637451,0.00030362202526660963,0.4294967296,67.50415293799864,244.7124253197857
59818,1.23768994140625,122.44466590332031,1,0.8105275631437507,0.1953403749880083,0.1083927876590973,0.0,0.0,0.0,20463592,1024,256,6,512,8,bert,a100,156.0,Projections,1.1142607257908563,3.439981232128,1.781638599999929,0.412316860416,67.3753058443083,235.3731918022966,0.274877906944,65.26567516010327,161.9875556978321,0.274877906944,65.26567516010327,0.00016198755569783212,0.137438953472,57.37169980344698,92.1379985809541
97846,0.6778649291992187,54.06650675292969,1,0.5142165949840578,0.1109529392306748,0.1230924514163525,0.0,0.0,0.0,8403432,256,192,6,256,8,gpt,grid,11.34,Projections,0.7482619856310853,0.322571943936,4.19633712798666,0.019327352832,72.44774424418173,141.15156677697482,0.006442450944,59.53945595106313,57.25118156901362,0.006442450944,59.53945595106313,5.725118156901362e-05,0.006442450944,59.53945595106313,57.25118156901362
91119,0.5702191772460937,48.01245472412109,1,0.4470516731966079,0.0958991467953032,0.1063887519784429,0.0,0.0,0.0,9441768,256,160,4,384,12,gpt,grid,11.34,Projections,0.6493395719703539,0.27405283328,4.238180243552434,0.03623878656,77.2091085120896,165.55871461594745,0.00805306368,62.51000417885316,45.44211559883071,0.00805306368,62.51000417885316,4.544211559883071e-05,0.01207959552,67.51766945325852,63.10763224607445
33913,1.0611895751953124,107.1483114074707,1,0.847590673349778,0.2083363231230916,0.1160532985287067,0.0,0.0,0.0,19939304,1280,160,6,512,4,gpt,a100,156.0,Projections,1.1719802950015783,2.6874853376,1.6234111713404074,0.3221225472,66.28842168529623,186.9003428272856,0.268435456,65.08852327717696,158.62152182218645,0.268435456,65.08852327717696,0.00015862152182218647,0.1073741824,53.35899034593298,77.3960717656011
57541,0.8433189697265625,81.92843790893555,1,0.7357680516695311,0.1778406995460568,0.0986816198879243,0.0,0.0,0.0,24182760,768,256,4,768,4,bert,a100,156.0,Projections,1.012290371103512,2.630317572096,1.9993633112516693,0.695784701952,68.28867171737339,261.2531908252912,0.231928233984,63.85084219508484,93.13702983418631,0.231928233984,63.85084219508484,9.313702983418631e-05,0.231928233984,63.85084219508484,93.13702983418631
72115,0.4281250915527343,42.06757149597168,1,0.7065263149428205,0.1709947895454442,0.0949003724885706,0.0,0.0,0.0,6035432,1024,256,4,256,2,bert,a100,156.0,Projections,0.9724214769768358,1.16955414528,1.7511568709351428,0.103079215104,52.65159812902337,50.19898524374548,0.137438953472,57.37169980344698,61.42533238730273,0.137438953472,57.37169980344698,6.142533238730273e-05,0.034359738368,32.373050069299616,27.214579121425402
66970,0.908040771484375,89.47833762207031,1,0.8339518632720697,0.200918515204128,0.1114960773459559,0.0,0.0,0.0,52972520,512,256,6,1024,2,bert,a100,156.0,Projections,1.1463664558221536,3.4395881472,2.428155503765303,0.824633720832,68.36851143375435,463.90773918185147,0.137438953472,57.37169980344698,92.1379985809541,0.137438953472,57.37169980344698,9.213799858095411e-05,0.274877906944,65.26567516010327,161.9875556978321
66748,0.5877871704101563,59.4135271850586,1,0.7090218511059163,0.1715809630763271,0.0952272155217312,0.0,0.0,0.0,6035432,1024,256,4,256,8,bert,a100,156.0,Projections,0.9758300297039753,1.16955414528,1.2754858109086649,0.103079215104,52.65159812902337,50.19898524374548,0.137438953472,57.37169980344698,61.42533238730273,0.137438953472,57.37169980344698,6.142533238730273e-05,0.034359738368,32.373050069299616,27.214579121425402
61943,0.3973107299804687,38.41200137451172,1,0.7236036774935855,0.1749958173882084,0.0971163670905578,0.0,0.0,0.0,18679272,512,256,4,640,2,bert,a100,156.0,Projections,0.9957158619723516,1.461353054208,2.357763603274726,0.3221225472,66.28842168529623,124.60022855152376,0.08589934592,49.37907876151179,44.604868833616486,0.08589934592,49.37907876151179,4.4604868833616484e-05,0.1073741824,53.35899034593298,51.59738117706742
59751,1.4383360595703123,135.53440689331055,1,0.7790794146519175,0.1880538778185374,0.1043131339373432,0.0,0.0,0.0,50784232,768,256,4,1280,4,bert,a100,156.0,Projections,1.0714464264077983,4.383469535232,1.9535882105172935,1.9327352832,68.42835326229947,724.2219429697968,0.38654705664,67.1443277065993,147.61430085471062,0.38654705664,67.1443277065993,0.00014761430085471062,0.6442450944,68.23024234370527,242.10825606336704
67346,1.8085831298828128,171.8153973388672,1,1.0302245989012384,0.2482006464681361,0.1378208371461419,0.0,0.0,0.0,43347432,768,320,4,1152,8,bert,a100,156.0,Projections,1.4162460825155136,4.93147693056,1.7478893330273486,1.95689447424,68.42836574511765,733.2745834917055,0.43486543872,67.54085409221219,165.09112913188767,0.43486543872,67.54085409221219,0.00016509112913188766,0.65229815808,68.2408515471309,245.09649891123442
62003,0.7267198486328125,68.9657136352539,1,0.7615552336881386,0.1839249579951263,0.1020263539921923,0.0,0.0,0.0,43052520,512,256,4,1152,2,bert,a100,156.0,Projections,1.047506545675457,2.630121029632,2.3199793182568476,1.043677052928,68.4132056041491,391.1664398525704,0.154618822656,59.093900904571655,67.08958345312048,0.154618822656,59.093900904571655,6.708958345312049e-05,0.347892350976,66.6886725936752,133.76059748621117
66968,1.4794918212890624,145.92227833374022,1,0.8327600559297359,0.2006223104974422,0.1113317931886412,0.0,0.0,0.0,43829480,768,256,6,896,8,bert,a100,156.0,Projections,1.144714159615819,4.514533146624,1.9560307550228349,0.947040288768,68.40082824299489,532.5173309550862,0.270582939648,65.14876580897581,159.74264456248338,0.270582939648,65.14876580897581,0.00015974264456248337,0.315680096256,66.17331091060514,183.48095322137596
62039,0.6945228881835938,69.65370045593262,1,0.7867734360849106,0.1898433845143083,0.1053149125856643,0.0,0.0,0.0,3978984,1280,256,6,128,4,bert,a100,156.0,Projections,1.0819317331848832,1.07573116928,0.992870464157676,0.03221225472,31.258678435912493,39.63484497229313,0.1073741824,53.35899034593298,77.3960717656011,0.1073741824,53.35899034593298,7.739607176560111e-05,0.01073741824,16.00890520377412,25.796743709746288
61934,0.5329987182617187,63.19765802429199,1,0.7197118091023178,0.1740851531949554,0.0966141290439326,0.0,0.0,0.0,14027752,768,256,4,512,4,bert,a100,156.0,Projections,0.990411091341206,1.753741590528,2.1091857986598854,0.309237645312,66.05138205198064,120.04548801681914,0.154618822656,59.093900904571655,67.08958345312048,0.154618822656,59.093900904571655,6.708958345312049e-05,0.103079215104,52.65159812902337,50.19898524374548
40318,0.805743896484375,78.22161747070312,1,0.8066422344799413,0.1987603350842518,0.1106933824657023,0.0,0.0,0.0,42462696,768,160,4,1152,2,gpt,a100,156.0,Projections,1.1160959520298963,2.46573846528,1.961667456873306,0.97844723712,68.40571570328086,366.7586902271287,0.21743271936,63.22321714095528,88.1827623526001,0.21743271936,63.22321714095528,8.818276235260009e-05,0.32614907904,66.35709166758782,126.02717642229571
62105,0.6694070434570313,66.4988956970215,1,0.8192676876358505,0.1974035595291101,0.1095403654654933,0.0,0.0,0.0,35014120,512,256,6,768,2,bert,a100,156.0,Projections,1.1262116126304542,2.579789381632,2.4704119238595155,0.463856467968,67.71379459789664,263.47118027171956,0.103079215104,52.65159812902337,75.29847786561824,0.103079215104,52.65159812902337,7.529847786561823e-05,0.154618822656,59.093900904571655,100.63437517968073
66973,0.9168796997070312,89.63415944335938,1,0.8362612265084444,0.2014770370295562,0.1118065209020535,0.0,0.0,0.0,52972520,512,256,6,1024,4,bert,a100,156.0,Projections,1.149544784440054,3.4395881472,2.404747534084998,0.824633720832,68.36851143375435,463.90773918185147,0.137438953472,57.37169980344698,92.1379985809541,0.137438953472,57.37169980344698,9.213799858095411e-05,0.274877906944,65.26567516010327,161.9875556978321
67340,1.575654296875,150.77435966796875,1,1.025423213671246,0.2470463364571888,0.1371796678190824,0.0,0.0,0.0,43347432,768,320,4,1152,2,bert,a100,156.0,Projections,1.4096492179475144,4.93147693056,2.0062796559403977,1.95689447424,68.42836574511765,733.2745834917055,0.43486543872,67.54085409221219,165.09112913188767,0.43486543872,67.54085409221219,0.00016509112913188766,0.65229815808,68.2408515471309,245.09649891123442
